Organization_Name,Estimated_Revenue_Range,Total_Funding_Amount,Headquarters_Location,Description,Founded_Date,Number_of_Founders,Funding_Status,Funding_Stage,Number_Funding_Rounds,Number_of_Investors,Industries,Industry_Groups,Sector_Size,Number_of_Employees,Downloads_Last_30_Days,Number_of_Apps,Visit_Duration,Bounce_Rate,Monthly_Visits,Monthly_Visits_Growth,Exit_status
Rasan,,90000000,Riyadh ,Rasan is an insure-tech company that provides technical solutions to insurance brokerage and financial services sector.,2015,,,Series A,1,1,"Financial Services, Information Technology, Insurance",Financial Services,13000000000,376,,,0,100%,863,65%,servival
Nejree,5500000,18929563,Riyadh ,Nejree is an online sneaker retailer.,2018,1,Early Stage Venture,Series A,2,3,"Retail, Shoes",E-Commerce,13000000000,31,,,206,57%,53493,-50%,servival
RedBox,,11500000,Riyadh ,RedBox ships online products to the nearest smart locker for faster delivery and easy access.,2019,,Seed,Seed,1,2,"Logistics, Shipping",Transportation,18000000000,176,,,,,,,servival
OneCard,5500000,1000000,Riyadh ,OneCard is the leading online payment solutions provider in MENA region.,2004,1,Seed,Seed,1,1,"Consumer Electronics, Finance, Internet",Financial Services,13000000000,76,,3,151,40%,20419,-27%,servival
Quantum Platform,,2600000,Jeddah ,Quantum Platform is a business-to-business product platform for sampling solutions.,2018,2,Seed,Seed,2,3,"Computer Vision, Data Center Automation, Data Mining, Direct Marketing, Intelligent Systems, Predictive Analytics, Text Analytics, Virtual Assistant",Computer Vision,13000000000,31,,,0,100%,390,,servival
WeDeliver,,8800000,Riyadh ,WeDeliver is a B2B logistics and last-mile delivery services provider.,2020,2,Seed,Pre-Seed,1,6,"B2B, Delivery Service, Predictive Analytics",Travel&Tourism ,18000000000,31,,,2031,16%,9435,126%,servival
Golden Scent,1000000,4100000,Ash Sharqiyah,Leading Saudi beauty ecommerce platforms.,2014,2,Early Stage Venture,Series B,2,7,"Beauty, E-Commerce, Shopping",E-Commerce,13000000000,176,,,313,45%,167412,-26%,servival
Raqamyah Platform,,2300000,Riyadh ,Raqamyah Platform is a regulated peer to peer (P2P) financing platform by Saudi Arabian Monetary Authority (SAMA).,2018,1,Seed,Seed,2,5,"FinTech, Peer to Peer",FintTech,13000000000,6,,,149,60%,1894,-27%,servival
DIGGIPACKS,,4400000,Riyadh ,DIGGIPACKS is a cloud fulfillment & last-mile aggregator servicing the e-commerce and retailers in the market.,2020,2,,Series C,2,3,"Delivery Service, E-Commerce, Food Delivery, Logistics, Predictive Analytics, Same Day Delivery, Software, Supply Chain Management, Warehousing",E-Commerce,13000000000,7,,,2194,67%,12682,4099%,exited
Tamawal,,1100000,Riyadh ,Tamawal offers premium and quick loan service for businesses,2018,1,Seed,Pre-Seed,1,2,"Finance, Financial Services",Financial Services,13000000000,6,,,,,,,servival
Shuttle,,3750000,Riyadh ,Digital Logistics platform with IoT based Smart Lockers distributed in cities forming a stop station for a mass transit for moving parcels,2020,2,Seed,Seed,1,1,"E-Commerce Platforms, Internet of Things, Logistics, Smart Cities",E-Commerce,13000000000,31,,,0,100%,267,69%,servival
Kleen,,533000,Ash Sharqiyah ,Tech Franchise,2021,2,Seed,Pre-Seed,1,,"Franchise, Information Technology",Consumer Services,42000000000,6,,,,,,,servival
Azom,,36000000,Riyadh ,"Azom designs, develops, and sells electronics and computer software.",2018,1,Early Stage Venture,Series A,1,1,"Artificial Intelligence, Software",Artificial Intelligence,13000000000,31,,,90,0%,1616,,servival
Natufia,1000000,4821000,Jeddah ,Natufia is a multi-awarded agri-technology provider that enables you to grow fresh plants and herbs all year-round.,2014,3,Early Stage Venture,Series A,6,8,"Food and Beverage, Health Care, Intelligent Systems, Organic Food",HealthTech,5400000000,31,,,0,100%,2167,-51%,servival
Koinz,,4800000,Riyadh ,"Next Gen platform for F&B industry, merging online and offline worlds, Koinz helps the brands gain and retain customers online and offline.",2018,3,Seed,Seed,2,4,"E-Commerce, Food and Beverage, Restaurants, Software",Food&Beverage ,42000000000,76,,,132,0%,172,9%,servival
Ajeer,,533000,Riyadh ,Ajeer is a facility maintenance platform that connect professional technicians with more than 100 different services with a guarantee,2016,1,Seed,Seed,1,1,"Building Maintenance, Facilities Support Services, Information Technology, Internet, iOS, Software",Transportation,18000000000,31,"1,150",2,0,100%,11,,servival
DailyMealz,,2150000,Riyad,"DailyMealz is a healthy food subscription app, delivers fresh, healthy, and tasty meals.",2017,2,Seed,Seed,2,2,"Food Delivery, Predictive Analytics, Subscription Service",Food Delivery  ,42000000000,31,,,0,100%,1316,,servival
DokkanAfkar,5500000,7000000,Jeddah ,"DokkanAfkar.com was created by a group of passionate guys who love and appreciate creativity, design and ideas.",2013,2,Early Stage Venture,Series B,2,6,"E-Commerce, Internet, Retail",E-Commerce,13000000000,31,"4,573",2,556,56%,63939,-20%,servival
Ejaro,5500000,3200000,Jeddah ,Ejaro is the first licensed peer-to-peer vehicle sharing marketplace in Saudi Arabia and the GCC,2019,1,Seed,Seed,1,1,"Marketplace, Public Transportation, Trading Platform, Transportation, Travel",E-Commerce,13000000000,6,,,,,,,servival
Mabaat,,9000000,Jeddah ,Mabaat is an innovative tech operator platform focused on disrupting the short-term rental market.,2019,1,Seed,Seed,1,2,"Hospitality, Predictive Analytics, Rental",Artificial Intelligence,13000000000,31,,,0,100%,210,-10%,servival
Prexle,,2500000,Riyadh ,Prexle provides cloud-based point of sale (POS) services for retailers.,2020,2,Seed,Seed,1,,"Point of Sale, Retail",Financial Services,13000000000,6,,,63,64%,1694,175%,servival
circlys app,5500000,453936,Riyadh ,"circlys is mobile app that help users to join public ones while ensuring authenticity, covers defaults and prevent frauds",2017,3,,Seed,3,2,"FinTech, Mobile Apps, Predictive Analytics",FinTech,13000000000,6,,,392,84%,2098,122%,servival
Flicron,,5385086,Riyadh ,Micro-Influencers Marketing Platform,2018,2,,Seed,4,2,"Advertising, Advertising Platforms, Digital Marketing, Marketing, Marketplace, Social Media, Social Media Advertising, Social Media Management, Social Media Marketing",Sales&Marketing,13000000000,31,,,210,35%,794,484%,servival
Qoyod,,2600000,Riyadh ,Qoyod is a comprehensive online accounting software for small and medium businesses.,2016,1,Early Stage Venture,Series A,2,4,"Accounting, Billing, Financial Services, SaaS, Software",Financial Services,13000000000,31,,,1608,14%,1198973,-21%,servival
Saee,5500000,2400000,Jeddah ,Saee is Jeddah-based last-mile delivery startup.,2016,2,Early Stage Venture,Series A,1,3,"Logistics, Predictive Analytics, Supply Chain Management",Transportation,18000000000,31,,,2423,47%,272256,307%,servival
Telfaz11,5500000,9000000,Riyadh ,"Telfaz11 specializes in the fields of talent management, comedy, entertainment, content creation, and storytelling.",2011,1,,Series C,2,10,"Film Production, Media and Entertainment",Media&Entertainment,49500000000,31,,,3,17%,970,405%,exited
NQOODLET,,1000000,Riyadh ,"NQOODLET is an electronic platform targeting SMEs to manage their expenses, purchases through the credit cards given to the employees.",2021,2,Seed,Pre-Seed,1,3,FinTech,Financial Services,13000000000,6,,,1440,0%,394,-6%,servival
CashIn,,6000000,Riyadh ,"CashIn is an enablement app that supports smart devices to facilitate merchants by managing their sales, payments and other operations.",2020,3,Seed,Seed,1,2,"Apps, Industrial Automation, Payments, Sales",Financial Services ,13000000000,31,,,,,,,servival
UVA,,3100000,Ash Sharqiyah,An e-Hailing based taxi service that puts its people first.,2020,3,Seed,Seed,2,,"Automotive, B2B, B2C, E-Commerce, E-Commerce Platforms, Mobile Apps",E-Commerce,13000000000,31,,,0,100%,172,,servival
Scalers,,533000,Riyadh ,Scalers is an online competency-based learning and placement platform.,2020,2,Seed,Seed,1,,"Corporate Training, E-Learning, Human Resources, Text Analytics",Human Resources,49500000000,6,,,813,50%,4452,510%,servival
Qreeb,,1900000,Ash Sharqiyah ,Qreeb is a Procurement and Facility Management platform for enterprise professionals.,2018,2,Seed,Seed,1,1,"B2B, Information Services, SaaS",IT,13000000000,31,,,,,,,servival
B8ak,1000000,2000000,Ash Sharqiyah,B8ak a home maintenance platform,2016,2,Seed,Seed,1,3,"Home Improvement, Internet",Real Estate,2500000000,31,"8,733",3,112,0%,132,,servival
Glamera,,250000,Riyadh ,"Glamera, is the first mobile application, to book an appointment for health and beauty services, from more than 650 places in MENA.",2019,2,Seed,Seed,3,3,"B2B, B2C, Beauty, E-Commerce, E-Commerce Platforms, Fashion, Fitness, Mobile Apps",E-Commerce,13000000000,31,,,,,,,servival
Marn,,1000000,Riyadh ,"Marn provides easy-to-use cloud POS solutions to clients who manage SMEs to get you all they want, to manage their store, and more.",2016,1,Seed,Seed,1,4,"Point of Sale, Restaurants, Retail, Software",Financial Services,13000000000,31,,,1094,86%,596800,2985%,servival
FalconViz,1000000,1769337,Hail,Falconviz provides end-to-end asset digitization to process digitalization services utilizing UAVs and related equipment.,2014,4,,Series C,5,2,"Architecture, Drones, Image Recognition",Real Estate,2500000000,31,,,0,100%,629,,servival
Swyft,5500000,10000000,Ash Sharqiyah,Swyft is an on-demand mobile delivery app.,2019,,Seed,Seed,1,,"Logistics, Predictive Analytics",Transportation,18000000000,31,,,,,,,servival
Nala,,1000000,Riyadh ,Nala is a digital health company with the mission of simplifying healthcare access.,2019,1,Seed,Seed,1,1,"Health Care, Predictive Analytics, Wellness",HealthTech,5400000000,31,,,,,,,servival
NoorDx,,2500000,Hail,NoorDx offers advanced genetic diagnostic testing laboratory with an aim to provide precision medicine capabilities for the Middle East.,2017,4,Early Stage Venture,Series A,2,1,"Biotechnology, Health Care, Intelligent Systems",HealthTech,5400000000,6,,,,,,,servival
Aanaab,,1500000,Jeddah ,Aanaab offers online courses in Arabic for teachers and educators.,2016,2,Seed,Seed,1,2,"Education, Training",EduTech,4760000000,31,,,1077,56%,9536,-9%,servival
Taker,,200000,Riyadh ,Online Ordering System for Restaurant,2019,1,Seed,Seed,1,2,"E-Commerce, Information Technology, Internet, Mobile Apps, SaaS, Software",E-Commerce,13000000000,31,,,1179,68%,15862,-23%,servival
DigiNation,,2400000,Riyadh ,DigiNation is a digital business automation company in KSA.,2017,,Seed,Seed,1,7,,Consumer Services,42000000000,376,,,,,,,servival
VAM,,2500000,Riyadh ,VÃ´M is a homegrown accounting software platform.,2020,1,Seed,Pre-Seed,1,,"Accounting, Finance, Software, Taxi Service",Financial Services,13000000000,6,,,522,0%,648,-65%,servival
Sadeem Technology,5500000,2530000,Hail,"To save lives using technology that creates safe, smart, sustainable cities.",2018,3,Early Stage Venture,Series A,4,3,"Data Visualization, Information Technology, Intelligent Systems, Smart Cities, Software",Data Visualization,13000000000,6,,,26,0%,41,4000%,servival
UTURN Entertainment,5500000,10000000,Jedda,"UTURN is an online entertainment channel that provides edgy, local, interactive, yet professional content for Internet users.",2010,4,Early Stage Venture,Series B,1,2,"Advertising, Content, Internet, Music, News, Video",Media&Entertainment,49500000000,31,,,,,,,servival
Red Sea Farms,,20348000,Hail,Red Sea Farms is an agriculture technology company enabling the commercial farming of produce using primarily salt water.,2018,2,Early Stage Venture,Series A,5,7,"Agriculture, AgTech, Farming, Intelligent Systems",Artificial Intelligence,13000000000,6,,,599,0%,144,-64%,servival
TmmmT Tech,,4000000,Riyadh ,"TmmT is an online application to order food that provides instant delivery for food, vegetables & fruits.",2018,1,Seed,Seed,1,,"E-Commerce, Food Delivery, Predictive Analytics",Food&Beverage ,42000000000,6,,,,,,,servival
Sihatech,5500000,5500000,Riyadh ,Saudi Internet Health Application Technology Company,2014,2,Early Stage Venture,Series A,2,3,"Apps, Mobile, Predictive Analytics",Artificial Intelligence,13000000000,7,,4,,,,,exited
WalaPlus,,600000,Riyad,A creative way to boost Your employees loyalty.,2015,1,Seed,Seed,1,2,"Human Resources, Loyalty Programs, Professional Services",Human Resources,49500000000,6,,,492,55%,15939,-47%,servival
GetMuv,,1979889,Jeddah ,Gym Access for Corporate Employees,2017,3,Seed,Seed,2,2,"Fitness, Health Care, Personal Health, Sports, Wellness",HealthTech,5400000000,31,,,,,,,servival
GrintaHub,,800000,Riyadh ,An online ticket exchange and resale platform,2019,1,Seed,Pre-Seed,1,,"Concerts, Digital Entertainment, E-Commerce, Events, Intelligent Systems, Internet, Media and Entertainment, Sports, Ticketing",Media&Entertainment,49500000000,6,,,696,17%,64986,572%,servival
Quix,,3000000,Jeddah ,Quix is a logistics and on-demand delivery platform that utilizes drone technology.,2019,1,,Seed,1,,"Delivery Service, Logistics, Predictive Analytics, Service Industry",Logistics ,13000000000,31,,,,,,,servival
n.go,,1800000,Riyadh ,nâ€¢go is an application for receiving instant online orders and delivering it to its clients by the safest and quickest ways.,2021,1,Seed,Seed,1,,"Information Services, Intelligent Systems, Software",Artificial Intelligence,13000000000,31,,,,,,,servival
YNMO,,500000,Jeddah,First Arabic/English digital solution that aims to improve the quality of care and educational services for individuals with special needs,2017,3,Seed,Seed,2,2,"Education, Therapeutics",HealthTech,5400000000,6,,,292,90%,1679,240%,servival
Dealcom,,3500000,Riyadh ,Dealcom creates an electronic marketplace that allows institutions and companies to buy and sell on the system of supply and demand.,2020,1,,Pre-Seed,1,,Construction,Real Estate,2500000000,31,,,,,,,servival
EDAMA Organic Solutions,,950000,Hail,Edama Organic Solutions recycles organic waste into innovative agricultural products tailored to arid environments,2018,4,Seed,Seed,3,1,"Agriculture, Intelligent Systems, Waste Management",Artificial Intelligence,13000000000,6,,,,,,,servival
Karaz Health,,1500000,Riyadh ,A Diabetes ecosystem & infrastructure using AI & Data .,2020,1,Seed,Pre-Seed,1,,"Artificial Intelligence, Health Care, Information Technology, Machine Learning, Software",Artificial Intelligence,13000000000,6,,,11,0%,172,,servival
Quantum Solution,5500000,500000,Hail,Quantum Solution is a nanotech startup company.,2016,3,Seed,Seed,1,1,"Nanotechnology, Predictive Analytics",Artificial Intelligence,13000000000,6,,,10,58%,906,-27%,servival
Arabian Robotics,,3500000,Ash Sharqiyah,"Arabian Robotics designs, develops & deploys industrial robotics solutions for inspection in oil, gas and petrochemical industry.",2016,2,,Series C,2,2,"Industrial Automation, Robotics",Artificial Intelligence,13000000000,6,,,,,,,servival
Hungerstation.com,,,Ash Sharqiyah,Hunger Station is a website that lets users find food deals and specials in Saudi Arabia.,2012,2,M&A,Seed,1,1,"E-Commerce, Food Delivery, Online Portals, Predictive Analytics",Travel&Tourism ,18000000000,751,,2,316,63%,552566,-34%,exited
Trteeb,,200000,Riyadh ,Trteeb is a custom tailor clothing marketplace for Arab traditional thobes connecting users to tailors.,2017,2,Seed,Seed,4,5,"E-Commerce, Marketplace",E-Commerce,13000000000,6,,,0,100%,380,,servival
Jaleesa,,262595,Jeddah ,Jaleesa is a marketplace that connects parents with trained & certified babysitters in the local area.,2019,2,Seed,Pre-Seed,8,1,"Baby, Child Care, E-Commerce, Lifestyle, Marketplace, Parenting, Text Analytics",Data Analysis,13000000000,6,,,,,,,servival
SAUDI EXPATRIATES,,,Jeddah ,A blog for expatriates who are living in the kingdom of Saudi Arabia.,2014,1,,Series C,,,"Association, News, Social News",Media&Entertainment,49500000000,6,,,406,65%,295939,-27%,servival
Monh,1000000,533000,Riyadh ,Monh is online shopping platform where can you order and get delivered all products in wholesale price.,2018,1,Seed,Pre-Seed,1,1,E-Commerce,E-Commerce,13000000000,31,,,273,80%,246,,servival
Qewam,,1430000,Jeddah ,A digital incubator that aims to completely redefine the MENA entrepreneurial system.,2020,2,Seed,Pre-Seed,1,,"Consulting, Education",EduTech,4760000000,31,,,222,40%,2564,3412%,servival
NOMADD,5500000,7830336,Jeddah ,The NOMADD is The NO-water Mechanical Automated Dusting Device.,2012,2,Early Stage Venture,Series B,4,3,"Industrial Automation, Information Technology, Robotics, Solar",Energy,49500000000,6,,,,,,,servival
Garage,,260000,Ash Sharqiyah ,Garage provides on-demand car maintenance services.,2020,1,Seed,Angel,1,1,Automotive,Travel&Tourism ,18000000000,6,,,,,,,servival
Sadeem,5500000,2600000,Riyadh ,Simple cloud management platform for hosting service providers,2014,3,Early Stage Venture,Series A,1,2,"Cloud Computing, Cloud Infrastructure, IaaS, Intelligent Systems",Artificial Intelligence,13000000000,31,,,,,,,servival
KartNGo,,1327000,Jeddah,Self service Micro Stores powered by AI,2019,1,Seed,Seed,2,,"Artificial Intelligence, Retail",Artificial Intelligence,13000000000,31,,,,,,,servival
Jak Logistics,,500000,Riyadh ,"Mobile App, Logistics, On-demand, Same-day Delivery",2016,1,Seed,Seed,1,,"Delivery, E-Commerce, Logistics, Same Day Delivery",E-Commerce,13000000000,31,,,,,,,servival
Near Motion,5500000,25000,Ash Sharqiyah,Near Motion is a tech company providing an easy-to-use platform enabling venues to offer smart buildings thus bettering the experience.,2016,1,Seed,Pre-Seed,3,3,"Information Technology, Predictive Analytics, Smart Building",Artificial Intelligence,13000000000,31,,,519,10%,7054,-39%,servival
Munjz,,1300000,Ash Sharqiyah,Munjz is a mobile app for connecting individuals & corporate sector looking for household services with pre-screened professionals.,2017,1,Seed,Seed,3,3,Facilities Support Services,Consumer Services,42000000000,31,,,303,83%,102,,servival
ir4lab,,1500000,Ash Sharqiyah ,ir4lab is a blockchain technology start-up.,2019,2,Seed,Seed,1,1,"Blockchain, Cryptocurrency, Information Technology, Intelligent Systems",Blockchain,13000000000,6,,,,,,,servival
Falcon Group,5500000,100000000,Jeddah ,Falcon Group is a leading international financial services business,1994,1,,Series C,1,1,"Finance, Financial Services, Trade Shows",Financial Services,13000000000,176,,,0,100%,18,-98%,servival
WNNA,,113000,Riyadh,AI Powered Personal Shortcut To Daily Life Actions From Around The Web.,2016,1,Seed,Seed,6,5,"Artificial Intelligence, Mobile, Personalization, Search Engine, Semantic Search",Artificial Intelligence,13000000000,6,,2,,,,,servival
Mister Mandoob,,1330000,Riyadh ,Mister Mandoob provides an app for delivery and receiving services operating an inter-city parcel service via road and air.,2019,,,Seed,1,,"Courier Service, Delivery Service, Predictive Analytics",Artificial Intelligence,13000000000,31,,,1751,3%,387423,23%,servival
Smart Booking,,80000,Jeddah ,"Smart Booking is an online application used to book an appointment for services like hair salons, restaurants, clinics, etc.",2016,1,Seed,Seed,1,1,"Health Care, Information Technology, Intelligent Systems",HealthTech,5400000000,6,,2,,,,,servival
Workhint,1000000,75000,Sharqiyah ,WorkHint is a SaaS B2B solution to launch a talent marketplace platform for a business function,2019,2,Seed,Seed,2,1,"Human Resources, Information Technology, Management Information Systems, Predictive Analytics, Project Management, SaaS, Software",Recruitment ,49500000000,6,,,,,,,servival
PeroLED,,2000000,Hail,PeroLED develops novel light emitting materials and devices based on perovskite materials for application in displays.,2019,1,Early Stage Venture,Series A,1,1,"Computer Vision, Product Research",Data Analysis,13000000000,6,,,1,0%,612,,servival
Mohtwize,,1900000,Riyadh ,Mohtwize is a podcast tech developer that creates a sustainable business model for podcasts.,2018,1,Seed,Seed,1,1,"Media and Entertainment, Podcast",Media&Entertainment,49500000000,31,,,,,,,servival
Saferoad Information Technology Co. LTD,5500000,1866666,Ash Sharqiyah ,"Telematics provider,Fleet Management solutions, GPS tracking",2009,1,Early Stage Venture,Series A,1,1,"Fleet Management, Information Technology, Software, Telecommunications",Travel&Tourism ,18000000000,76,,,,,,,servival
Thobi,1000000,2500000,Riyadh ,Thobi is an online retailer of traditional Saudi clothes.,2017,2,Seed,Seed,1,1,"E-Commerce, Predictive Analytics, Retail, Textiles",E-Commerce,13000000000,6,,,,,,,servival
Mathaqi,1000000,266700,Riyadh ,Mathaqi is an online food delivery platform featuring meals curated by Home Chefs.,2017,2,Seed,Seed,1,3,E-Commerce,E-Commerce,13000000000,6,298,4,,,,,servival
Tawseel,,401089,Jedda,Tawseel is an on demand platform that provides a shared economy delivery services.,2016,3,Seed,Series C,3,1,"Car Sharing, Delivery, Mobile Apps, Predictive Analytics, Taxi Service",Travel&Tourism ,18000000000,31,,8,,,,,servival
Geeks Valley,1000000,138639,Jeddah ,"Geeks Valley is an online educational platform/e-store for makers, innovators, and digital fabrication's needs",2015,1,Seed,Seed,2,,"E-Commerce, Education, Hardware, Internet",EduTech,4760000000,31,,2,510,69%,2405,-40%,servival
CarSoug,,300000,Riyadh ,Car Soug is a leading Saudi based online market place for used cars. It is supports end-to-end online acquisition of cars,2018,,Seed,Seed,1,,"Auto Insurance, Automotive, Marketplace, Online Portals",Insurtech,13000000000,31,,,385,56%,14056,-66%,servival
Avokado,,533000,Jeddah ,Avokado is a fruit and vegetable delivery app that delivers and provides fresh vegetables and fruits to the door of the house.,2016,,Seed,Seed,1,1,"Delivery, Retail",E-Commerce,13000000000,6,"3,052",2,864,0%,696,215%,servival
Firnas Aero,,250000,Hail,"Firnas Aero provides Drone as a Service (DaaS), providing unparalleled inspection services using aerial systems.",2015,1,,Series A,2,2,"Aerospace, Drones, Image Recognition, Information and Communications Technology (ICT)",Artificial Intelligence,13000000000,31,,,,,,,servival
Innoshop.co,,100000,Riyadh ,"Innoshop is an eCommerce enablement platform, it helps retailers in MENA sell online by providing a website and an integrated mobile app",2019,1,Seed,Seed,1,1,"E-Commerce, Predictive Analytics, Software",Artificial Intelligence,13000000000,31,,,149,81%,2786,48%,servival
Esar,,50000,Jeddah ,Esar is a car rental market that connects and enables community members to rent unique cars that suit their needs.,2017,1,Seed,Seed,2,2,"Marketplace, Rental, Rental Property",E-Commerce,13000000000,6,,,0,100%,49,29%,servival
ALWANS,5500000,4000000,Asir Province,A leading saudi company with diverse interests and capabilities.,2010,1,Early Stage Venture,Series A,1,4,,IT,13000000000,6,,,,,,,servival
Aqarito,,376000,Riyadh ,Aqarito is a real estate marketplace that specializes in providing real-estate services.,2019,1,Seed,Seed,2,,"Data Mining, Marketplace, Online Portals, Real Estate",Data Analysis,13000000000,6,,,328,19%,129,28%,servival
PepPrint,,426000,Hail,"PepPrint provides technologies in 3D/4D bioprinting for applications in tissue engineering, regenerative medicine & diagnostics.",2013,2,Seed,Seed,3,1,"Biotechnology, Health Care, Manufacturing, Medical",HealthTech,5400000000,6,,,,,,,servival
Tabib Group,,250000,Jeddah,Mobile App that provides Digital & Wellnes Soultions,2014,1,Seed,Seed,1,1,"Health Care, Mobile, Mobile Apps, Software",HealthTech,5400000000,31,,,147,62%,625,168%,servival
Ngwah,,100000,Riyadh ,Ngwah is an online food delivery industry.,2017,2,Seed,Seed,2,2,"Delivery, E-Commerce, Food and Beverage, Internet",Food&Beverage ,42000000000,76,,,,,,,servival
Kaffeen,,210000,Ash Sharqiyah,Kaffeen mobile application is the first mobile application in Saudi Arabia that is specialized in online coffee ordering.,2018,1,Seed,Seed,1,,"E-Commerce, Food and Beverage, Information Technology, Internet, Mobile Apps",Food&Beverage ,42000000000,6,,,,,,,servival
Iyris,,1450000,Hail,Iyris is creating the glass technology.,2018,2,Seed,Seed,2,1,Renewable Energy,Energy,49500000000,6,,,0,100%,506,,servival
Smart Controls Systems,,6000000,Riyadh ,"SMART Controls Systems is an IT & Telecom services provider specialized in digital signage, CCTV, access control, BMS, and ERP.",1997,,Early Stage Venture,Series A,1,1,"Information Technology, Predictive Analytics, Telecommunications",Artificial Intelligence,13000000000,6,,,0,100%,421,,servival
Hasb,,3300000,Ash Sharqiyah ,Hasb was a Saudi startup that enabled consumers to pay for their online payments and bills in-person at different retail stores.,2017,3,Seed,Seed,2,,"E-Commerce, Internet, Payments",E-Commerce,13000000000,6,,,,,,,servival
Rwaq,,540000,Jeddah ,The Arab World Massive Open Online Courses Platform (MOOC),2013,2,Early Stage Venture,Series A,2,2,"Education, Internet, MOOC, Training",EduTech,4760000000,31,,,637,54%,490898,133%,servival
NOTA NOTA,,1210000,Riyadh ,"NOTA NOTA is introducing a perfume design platform uses NOTA NOTA â€œSmart, Personal, perfume mixing machine.â€",2016,1,Seed,Seed,2,3,Mobile Apps,E-Commerce,13000000000,6,,,665,33%,1700,73%,servival
Bab Makkah,,79967,Jedda,Bab Makkah provides services in the retail sector through its online platform.,2018,1,Seed,Seed,2,2,"E-Commerce, Retail",E-Commerce,13000000000,31,,,,,,,servival
Serviis,1000000,451000,Jedda,Serviis is the one stop shop marketplace for local services in KSA. Send a request and receive up to 5 quotations from local professionals,2016,4,Seed,Seed,2,1,"E-Commerce, Internet, Marketplace",E-Commerce,13000000000,6,,,,,,,servival
Telgani,,4200000,Riyadh ,Telgani is a leading car rental platform in which customers can quickly and easily rent car at a very competitive price.,2018,3,Seed,Seed,4,6,"Apps, Car Sharing, Mobile Apps, Rental",Travel&Tourism ,18000000000,31,,,64,78%,24831,75%,servival
Scimagine,,640000,Jeddah,"Secure is a cloud-based platform for advanced materials-related experimental data storage, management, indexing and analysis.",2018,2,Seed,Seed,4,1,"Advanced Materials, Blockchain, Cloud Storage, Database, Information Technology, Nanotechnology, Software",Data Analysis,13000000000,6,,,,,,,servival
Sawah,1000000,533000,Riyadh ,Sawah is an application based platform that provides local tour guides to travelers.,2016,1,Seed,Seed,1,,,Travel&Tourism ,18000000000,31,,,,,,,servival
Sawerly,1000000,211000,Jeddah ,Sawerly is a marketplace to connect photographers to people who need their services.,2013,2,Seed,Seed,1,2,"E-Commerce, E-Commerce Platforms, Information Technology, Marketplace, Photography, Search Engine",E-Commerce,13000000000,6,,1,0,100%,141,,servival
Squadio,1000000,,Riyadh,Squadio builds dedicated Squads of top-notch engineers tobuilt products Digitally.,2010,1,Seed,Seed,1,1,"Android, Apps, CMS, iOS, Mobile, Software",IT,13000000000,176,"8,111",28,121,75%,3596,1027%,servival
Pin-Offer,,640000,Riyadh ,Pinoffer is a analytics platform that helps stores increase sales by creating geo-retargeted ads on platforms like Facebook and Google.,2014,,Seed,Seed,2,2,"Advertising, Analytics, Apps",Sales&Marketing,13000000000,6,,,,,,,servival
hemma for smart solutions,,400000,Riyadh ,SaaS developers and own several products,2020,1,Seed,Pre-Seed,1,,"Machine Learning, SaaS",Artificial Intelligence,13000000000,31,,,,,,,servival
Foodstation,,200000,Riyadh ,"Foodstation is designed to provide a unique user experience by providing Direct delivery, Catering, food truck to order food directly.",2013,,Seed,Pre-Seed,1,1,"Delivery, E-Commerce, Food and Beverage",Food&Beverage ,42000000000,6,16,4,,,,,servival
Al Safi Danone Ltd.,,,Riyadh ,Al Safi Danone Ltd. produces and distributes fresh dairy products.,1997,1,M&A,Seed,,,"Agriculture, Consumer Goods, Food and Beverage, Food Processing, Organic Food",Consumer Services,42000000000,76,,,2018,62%,12595,286%,exited
Wayakit,,250000,Hail,Wayakit develops effective biotech-based formulations on hygiene.,2018,1,Seed,Pre-Seed,1,1,Biotechnology,HealthTech,5400000000,6,,,0,100%,332,,servival
Talon Dust Control,,250000,Hail,Talon Dust Control provides dust control and soil stabilization solutions to industry.,2019,1,Seed,Pre-Seed,1,1,"Environmental Consulting, Industrial Automation, Information and Communications Technology (ICT), Robotics",Business Intelligence,13000000000,6,,,,,,,servival
Geidea,5500000,,Riyadh ,Geidea is the official distributor of VeriFone and payment solution company in Saudi Arabia.,2008,1,M&A,Seed,1,1,"Information Services, Information Technology, Predictive Analytics",Artificial Intelligence,13000000000,376,57,2,290,19%,30008,-96%,exited
SaNoor,,465000,Hail,SaNoor provides next generation tunable smart laser technology for multiple lighting applications.,2017,2,Seed,Seed,2,2,"Telecommunications, Wireless",IT,13000000000,6,,,,,,,servival
Greenish,5500000,50000,Riyadh ,"Greenish is a store for organic food products, delivery services, and multiple payment solutions.",2017,1,Seed,Seed,3,3,"Delivery, Delivery Service, Organic, Organic Food, Payments",Food&Beverage ,42000000000,31,,,,,,,servival
Muqawiloon.com,,200000,Jeddah ,Muqawiloon.com is an online tendering and procurement platform to solve the dilemma facing both homeowners and construction managers.,2016,2,Seed,Seed,1,,"Building Maintenance, Construction, Home Improvement, Information Technology, Internet, Real Estate, Smart Building",Real Estate,2500000000,6,,,11,95%,1302,-9%,servival
BRC Group of Companies,,32000000,Jeddah ,BRC is an ISO 9001 company started with wire mesh and chain link fence.,1994,,Late Stage Venture,Series C,1,1,,Consumer Services,42000000000,376,,,,,,,servival
